,time,AdrActCnt,AssetEODCompletionTime,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
808,2021-08-06,2,1628301971,923686338.81568,0,0.0,5769.732172461648,476.2343424406128,7.016435268300761e-05,3.00235772302619,134.34138586827498,9.77469642299619,307653658.9,8,9.2592593e-05,8,53322.0,160091.71850720252,6665.25,20011.464813400315,3546.5,10647.861664712384,0.67562486794,0.050485144710899016,0.05562021386266725
809,2021-08-07,2,1628443452,924049968.4576796,0,0.0,4352.891407510116,475.84314712972406,6.751818320925674e-05,3.00353966782509,134.40083430475096,4.296530648114412,307653658.9,8,9.2592593e-05,8,70678.0,212284.1766425417,8834.75,26535.522080317718,7994.5,24011.79787442768,0.6757551118,0.050478517346577136,0.054861784584844135
810,2021-08-08,2,1628475406,924786462.2719197,0,0.0,4712.182127157715,766.3768053901978,6.835970608356137e-05,3.00593357341644,134.63159765678384,3.4583869967776,307653658.9,8,9.2592593e-05,8,65289.0,196254.39707478593,8161.125,24531.79963434824,8233.5,24749.35407672426,0.675888398042,0.05047887793879804,0.05484371085755176
811,2021-08-09,2,1628561588,914894024.9054397,0,0.0,4116.483922287488,759.4664468879059,6.427618758127353e-05,2.9737791130994395,133.33917824656348,2.5543350922250907,307653658.9,8,9.2592593e-05,8,74737.0,222251.32957571282,9342.125,27781.416196964103,9104.5,27074.77193521385,0.6760874790479999,0.05049058409119074,0.054884273717111035
812,2021-08-10,2,1628647973,920805997.9286877,0,0.0,5077.714748551717,765.7471646281558,6.5796328196414e-05,2.9929954391603304,136.2182373293403,2.8778215887965146,307653658.9,8,9.2592593e-05,8,60589.0,181342.60066328524,7573.625,22667.825082910655,7134.0,21352.029462969796,0.6761535696,0.05049050638409905,0.05489213483652917
813,2021-08-11,2,1628734200,887705010.3924955,0,0.0,5657.166005920968,739.9138465201747,6.31706607139949e-05,2.88540371522458,127.68519762430904,-1.4895437299686027,307653658.9,8,9.2592593e-05,8,54383.0,156916.9102450583,6797.875,19614.613780632288,7464.0,21536.653330436264,0.6761678973999999,0.0505808938480613,0.05530324838692005
814,2021-08-12,2,1628820718,908184573.7011192,0,0.0,4663.96305409011,757.1361802636608,6.647721898975903e-05,2.95197065735635,137.66172216838038,1.0714962920057831,307653658.9,8,9.2592593e-05,8,65964.0,194723.79244185425,8245.5,24340.47405523178,7838.0,23137.54601235907,0.6762778717129999,0.05059939997793373,0.05546381153567758
815,2021-08-13,2,1628907068,915791338.0211723,0,0.0,4748.034738255448,764.1251247033588,6.238165579925618e-05,2.97669574707981,135.08253106864322,1.2439489933087895,307653658.9,8,9.2592593e-05,8,64796.0,192877.97762778337,8099.5,24109.74720347292,6722.0,20009.34881187048,0.6764183186049999,0.05060011829207348,0.055471341412332856
816,2021-08-14,2,1628993587,920664512.8851687,0,0.0,5115.284299348231,769.5370178211487,6.350315194340273e-05,2.9925355550034998,137.37752905577526,3.7843923834350512,307653658.9,8,9.2592593e-05,8,60144.0,179983.05842013052,7518.0,22497.88230251632,6763.0,20238.517958488672,0.676456289874,0.05059976854481185,0.05534935906205694
817,2021-08-15,2,1629080014,920980432.5410831,0,0.0,6429.677922213629,772.0619474335592,6.359219205081481e-05,2.9935624228686297,134.55259493656843,1.9170602626698876,307653658.9,8,9.2592593e-05,8,47849.0,143238.96837184107,5981.125,17904.871046480133,5329.0,15952.694151466929,0.676492951229,0.05060004311627268,0.055253291488304296
